"","Country.code","Country","Party.grouping","NDC1.type","NDCX.type","NDC1.Conditionality","NDCX.Conditionality","NDC1...change.E","NDCX...change.E","X2015.E.per.capita..tonnes.CO2e.","X2019.E.per.capita..tonnes.CO2e.","X2015.E..GDP","X2019.E..GDP","Vulnerability.2015","Vulnerability.2019","X2015.GDP.per.capita..2015.US..","X2019.GDP.per.capita","NR.rent.GDP.2015","NR.rent.GDP.2019","NAME","Mg_Carbon_Yr_3_min","Mg_Carbon_Yr_4_min","Mg_Carbon_Yr_5_min","Forested_Area_HVFE_ha_3_min","Forested_Area_HVFE_ha_4_min","Forested_Area_HVFE_ha_5_min","Restorable_Area_HVFE_ha_3_min","Restorable_Area_HVFE_ha_4_min","Restorable_Area_HVFE_ha_5_min","MgC_ha_yr_3_min","MgC_ha_yr_4_min","MgC_ha_yr_5_min","Mg_Carbon_Yr_3_max","Mg_Carbon_Yr_4_max","Mg_Carbon_Yr_5_max","Mg_Carbon_Yr_6_max","Forested_Area_HVFE_ha_3_max","Forested_Area_HVFE_ha_4_max","Forested_Area_HVFE_ha_5_max","Forested_Area_HVFE_ha_6_max","Restorable_Area_HVFE_ha_3_max","Restorable_Area_HVFE_ha_4_max","Restorable_Area_HVFE_ha_5_max","Restorable_Area_HVFE_ha_6_max","MgC_ha_yr_3_max","MgC_ha_yr_4_max","MgC_ha_yr_5_max","MgC_ha_yr_6_max","Mg_Carbon_Yr_total_min","Mg_Carbon_Yr_total_max","MgC_ha_yr_min","MgC_ha_yr_max","Restorable_Area_HVFE_ha_min","Restorable_Area_HVFE_ha_max","eu","fwc_country","GtCO2_year","count_ndc_type","NDC_Type_Simple","concat","absred_fwc"
"11","BDI","Burundi","AFRC","B","B","BOTH","BOTH","552.2%","-13.1%",0.218,0.781,0.827,2.76,0.533420833,0.558226512,289.3596272,270.1372774,15.53445315,13.12743764,"Burundi",195317.815053268,93308.2950287143,70539.6122498942,340653.376116805,209927.699874107,38972.581197782,181808.559805612,91354.4184982966,18363.8762670877,1.07430483615348,1.0213878711346,3.84121583177499,702609.952196758,339678.577830534,36327.6221174541,84824.6309535488,340624.00758984,204862.054667208,22567.0121882738,36802.9569280487,181787.670416672,88541.4138035026,9356.75997939292,23156.2445202995,3.86500333375921,3.83638077639434,3.88250016004056,3.66314282435517,359165.722331877,1163440.78309829,1.97896951302102,3.81175677363732,291526.854570996,302842.088719867,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"12","BEN","Benin","AFRC","B","B","BOTH","BOTH","17.3%","-52.3%",2.311,2.276,2.187,1.95,0.566237856,0.557731841,1041.652523,1153.72621,4.300303136,2.467995902,"Benin",165.797789723591,11701.1758053252,4788.50810017477,885.238942462153,24277.1562734374,4310.94474871534,142.667923669433,8637.39870264629,1083.69294685009,1.16212380091653,1.35471062621438,4.41869453344073,531.1144089028,38199.490716829,2867.19109537351,3821.98828728267,885.238942462153,23501.6931222603,2105.14136824161,3850.41109568581,142.667923669433,8530.92571661828,639.958645204095,859.796889039044,3.72273174826187,4.4777661869,4.48027558790007,4.44522227982743,16655.4816952236,45419.784508388,2.31184298685721,4.28149895072234,9863.75957316581,10173.3491745309,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"13","BFA","Burkina Faso","AFRC","B","B","BOTH","BOTH","80.4%","30.9%",1.977,2.804,3.084,3.87,0.556920664,0.534909295,632.1266858,714.6460001,11.63285023,8.327973185,"Burkina Faso",0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,"Non-EU","FWC",0.412417782419776,22,"BAU Reduction","BAU Reduction_FWC","N"
"14","BGD","Bangladesh","ASIA","B","B","BOTH","BOTH","59.7%","67.1%",1.057,1.164,0.725,0.62,0.544713828,0.532385572,1236.004392,1557.964327,0.89981388,0.637717564,"Bangladesh",8059.39991588875,579401.350143035,2414389.72943383,162680.602835742,1439741.07396249,1640411.0046694,7234.34125327467,940025.488044033,833802.749687027,1.11404751776682,0.616367702272233,2.89563656433142,25616.0066784054,549978.632097894,255400.704858304,13562396.9833466,162439.570279229,494456.293942813,224089.245392844,6695998.57986332,7168.01425522682,189111.745302597,88599.2345094951,4767912.69270222,3.57365453894383,2.90822038164724,2.88265137133812,2.84451454073504,3001850.47949275,14393392.3269812,1.54201726145682,3.05226020816606,1781062.57898433,5052791.68676954,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"15","BHR","Bahrain","OPEC","D","D","CON","CON","13.6%","13.6%",44.598,37.282,1.922,1.59,0.439389585,0.43949615,22795.44886,23414.21907,12.63467523,13.36378399,"Bahrain",0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,"Non-EU","Non-FWC",0.0740360808639353,8,"Other","Other_Non-FWC","N"
"16","BHS","Bahamas","SIDS","F","B","CON","CON","47.6%","75.9%",6.273,6.263,0.207,0.2,0.449847338,0.451020092,29724.95334,29988.16535,0.014262923,0.012189944,"Bahamas",30.6005145559986,5550.74115073387,8971.37164645385,190.082732062222,55687.1771163945,53776.7085870133,50.5558243141324,9541.30752970999,4249.11594232986,0.605281685565248,0.581758960546007,2.11135016512039,106.560595880879,9457.22919418038,3620.24769807227,67425.4698109592,183.670022231685,32768.9648724769,14373.9579650798,64212.3070879383,49.8268285438687,4569.3373034371,1791.14992282914,32332.1081602922,2.1386188725028,2.06971570846095,2.02118630714846,2.0854028285655,14552.7133117437,80609.5072990927,1.09946360374388,2.07873092916943,13840.979296354,38742.4222151023,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"17","BIH","Bosnia and Herzegovina","EURP","B","A","BOTH","BOTH","24.8%","-32.4%",5.646,7.824,1.235,1.44,0.350941888,0.348143391,4654.60862,5558.08144,1.01862795,0.800756928,"Bosnia and Herz.",110547.329953382,83308.5579502086,65912.1552179798,1168806.28333086,622984.59611725,157555.030068673,254209.133496197,194837.634401293,54286.6683092392,0.434867655748631,0.427579395562892,1.21414994271737,310727.694817302,199532.485823716,25216.9085174371,267024.553814496,1161005.96037399,567366.915253408,70700.3435366269,381716.571411486,250167.454526005,163361.521523748,20750.9280573429,221301.477629682,1.24207881239405,1.22141667121232,1.21521834819884,1.20660990009893,259768.04312157,802501.642972951,0.692198998009632,1.22133093297603,503333.436206729,655581.381736778,"Non-EU","Non-FWC",0.0722686888013452,24,"Absolute Reduction","Absolute Reduction_Non-FWC","N"
"18","BLR","Belarus","CISP","A","A","UNC","BOTH","81.6%","9.0%",4.345,6.212,0.746,1.02,0.333159594,0.331451621,5967.06856,6267.765139,1.168670461,1.669605347,"Belarus",2701.8383804348,430094.421562655,412731.162144147,15293.2063892651,2646553.60608015,949471.309224361,7057.13564168607,1188161.82972582,408419.776716598,0.382851983809863,0.36198303194263,1.01055626018458,7489.69887159583,927198.054419198,116605.672782261,2251411.88816984,14876.6681621526,1964921.1425924,256061.664977264,4341603.83733794,6901.27537100908,896157.483249497,113002.287732256,2267868.58311846,1.0852630084953,1.03463740664994,1.0318877176942,0.99274354119497,845527.422087237,3302705.31424289,0.585130425312358,1.0361329185086,1603638.7420841,3283929.62947122,"Non-EU","Non-FWC",0.0722686888013452,24,"Absolute Reduction","Absolute Reduction_Non-FWC","N"
"19","BLZ","Belize","SIDS","D","F","CON","CON","3.6%","-8.2%",23.99,23.568,3.865,3.96,0.454797397,0.455162689,6098.60008,5833.173562,0.832694637,0.584709329,"Belize",1238.9521557756,48985.0425452484,45151.5198695165,119356.789147332,254734.798520143,88776.4349460026,909.922048224524,37437.3818083844,10184.0508742229,1.36160252209856,1.30845267962296,4.43355207344855,3729.64485103861,140753.249857201,18750.9150436293,155111.564127913,118967.810341291,212666.983524012,27633.9259470142,163366.186386607,844.200650223461,31560.3473159327,4229.78428540085,34975.2013751129,4.41796017339168,4.45981308279659,4.43306650609779,4.43490124515151,95375.5145705405,318345.373879782,2.36786909172336,4.43643525185939,48531.3547308318,71609.5336266699,"Non-EU","Non-FWC",0.0107605854681697,7,"Other","Other_Non-FWC","N"
"20","BOL","Bolivia","LACA","D","D","BOTH","BOTH","18.6%","18.6%",13.394,14.584,4.466,4.46,0.451975611,0.446063598,2975.648811,3242.948845,4.118077548,4.095293587,"Bolivia",1273500.12131249,1243193.61721812,1334745.45914509,7096368.82502982,8774709.4929648,2723750.0926815,2689173.52686215,1674357.608109,478969.120407681,0.473565617313832,0.742489902513818,2.78670461680077,4931258.19905032,3344738.39750971,462194.710764287,6365724.6181688,7090821.40907545,7214358.04352587,867357.796848776,6658540.15227045,2686270.51440795,1360956.2771089,189581.023476175,1990813.89025,1.83572658546534,2.45763839277408,2.43797982672233,3.19754882630913,3851439.1976757,15103915.9254931,1.33425337887614,2.48222340781772,4842500.25537883,6227621.70524302,"Non-EU","Non-FWC",0.0740360808639353,8,"Other","Other_Non-FWC","N"
